time,iterations,updates,reward,queue_size,rollout_version
10.758561372756958,2048.0,1.0,-21.0,1.0,0.0
17.42530131340027,4096.0,2.0,-21.0,1.0,0.0
24.342854022979736,6144.0,3.0,-21.0,1.0,0.0
31.31308674812317,8192.0,4.0,-21.0,1.0,0.0
38.24879837036133,10240.0,5.0,-21.0,1.0,0.0
45.223735332489014,12288.0,6.0,-21.0,1.0,0.0
52.12260675430298,14336.0,7.0,-21.0,1.0,0.0
59.14979839324951,16384.0,8.0,-21.0,1.0,5.0
66.17197370529175,18432.0,9.0,-21.0,1.0,5.0
74.48202729225159,20480.0,10.0,-19.8,1.0,5.0
81.60456681251526,22528.0,11.0,-21.0,1.0,5.0
88.60729026794434,24576.0,12.0,-21.0,1.0,5.0
95.65671229362488,26624.0,13.0,-21.0,1.0,5.0
103.29149508476257,28672.0,14.0,-20.8,1.0,10.0
110.28885102272034,30720.0,15.0,-20.8,1.0,10.0
117.93812942504883,32768.0,16.0,-20.4,1.0,10.0
125.96490430831909,34816.0,17.0,-20.0,1.0,10.0
133.41820073127747,36864.0,18.0,-20.2,1.0,15.0
141.82448887825012,38912.0,19.0,-20.2,1.0,15.0
148.91575837135315,40960.0,20.0,-21.0,1.0,15.0
157.24936032295227,43008.0,21.0,-20.6,1.0,15.0
165.6557834148407,45056.0,22.0,-20.0,1.0,15.0
171.77127885818481,47104.0,23.0,-20.8,1.0,20.0
180.1089084148407,49152.0,24.0,-19.0,1.0,20.0
190.24601125717163,51200.0,25.0,-19.8,1.0,20.0
198.03320837020874,53248.0,26.0,-20.4,1.0,20.0
204.13500118255615,55296.0,27.0,-21.0,0.0,20.0
212.21580934524536,57344.0,28.0,-20.6,1.0,25.0
219.48194527626038,59392.0,29.0,-21.0,1.0,25.0
229.40170979499817,61440.0,30.0,-20.4,1.0,25.0
237.49292421340942,63488.0,31.0,-20.2,0.0,25.0
246.62362408638,65536.0,32.0,-19.4,1.0,25.0
256.53962445259094,67584.0,33.0,-19.8,1.0,30.0
266.5535731315613,69632.0,34.0,-20.0,1.0,30.0
274.8556785583496,71680.0,35.0,-20.2,1.0,30.0
282.17569851875305,73728.0,36.0,-20.8,1.0,30.0
293.1589801311493,75776.0,37.0,-19.2,1.0,30.0
301.3869833946228,77824.0,38.0,-20.4,1.0,35.0
309.8113920688629,79872.0,39.0,-20.4,1.0,35.0
318.3304286003113,81920.0,40.0,-20.6,1.0,35.0
326.0174481868744,83968.0,41.0,-21.0,1.0,35.0
334.9075903892517,86016.0,42.0,-20.6,0.0,35.0
348.7235372066498,88064.0,43.0,-19.0,1.0,40.0
361.0320541858673,90112.0,44.0,-19.6,1.0,40.0
370.85583901405334,92160.0,45.0,-20.8,1.0,40.0
379.23350834846497,94208.0,46.0,-21.0,1.0,40.0
387.5650396347046,96256.0,47.0,-20.4,1.0,40.0
395.39361333847046,98304.0,48.0,-20.6,1.0,45.0
413.31708550453186,100352.0,49.0,-16.8,1.0,45.0
425.02836990356445,102400.0,50.0,-20.8,1.0,45.0
433.7429497241974,104448.0,51.0,-21.0,1.0,45.0
449.8688085079193,106496.0,52.0,-18.8,1.0,45.0
467.89588594436646,108544.0,53.0,-18.0,1.0,50.0
478.5406279563904,110592.0,54.0,-19.6,1.0,50.0
534.1299815177917,112640.0,55.0,-16.2,1.0,50.0
551.7348201274872,114688.0,56.0,-18.0,1.0,50.0
564.7882671356201,116736.0,57.0,-19.8,1.0,55.0
581.2658185958862,118784.0,58.0,-18.8,1.0,55.0
598.3719866275787,120832.0,59.0,-19.2,1.0,55.0
614.6953961849213,122880.0,60.0,-18.8,1.0,55.0
631.1702859401703,124928.0,61.0,-18.4,1.0,55.0
648.4194412231445,126976.0,62.0,-17.6,1.0,60.0
666.4573903083801,129024.0,63.0,-18.4,1.0,60.0
681.6439564228058,131072.0,64.0,-19.2,1.0,60.0
696.2198486328125,133120.0,65.0,-18.8,1.0,60.0
710.1835062503815,135168.0,66.0,-18.6,1.0,60.0
722.9816944599152,137216.0,67.0,-19.0,1.0,60.0
736.3550209999084,139264.0,68.0,-17.4,1.0,65.0
750.1680467128754,141312.0,69.0,-18.2,1.0,65.0
764.9434330463409,143360.0,70.0,-17.8,1.0,65.0
781.4349286556244,145408.0,71.0,-15.0,1.0,65.0
797.2686882019043,147456.0,72.0,-15.8,1.0,70.0
812.6937711238861,149504.0,73.0,-16.8,1.0,70.0
827.3595702648163,151552.0,74.0,-18.4,1.0,70.0
840.3856101036072,153600.0,75.0,-17.8,1.0,70.0
860.3487527370453,155648.0,76.0,-17.0,1.0,70.0
877.9914705753326,157696.0,77.0,-16.4,1.0,75.0
896.0736384391785,159744.0,78.0,-17.6,1.0,75.0
914.851071357727,161792.0,79.0,-16.4,1.0,75.0
931.2781291007996,163840.0,80.0,-16.8,1.0,75.0
947.8671584129333,165888.0,81.0,-18.0,1.0,75.0
966.8167033195496,167936.0,82.0,-16.8,1.0,80.0
984.5516321659088,169984.0,83.0,-16.4,1.0,80.0
1004.1074273586273,172032.0,84.0,-16.0,1.0,80.0
1021.1823198795319,174080.0,85.0,-19.2,0.0,80.0
1036.5548391342163,176128.0,86.0,-16.2,1.0,80.0
1049.8842856884003,178176.0,87.0,-17.2,1.0,85.0
1064.2722175121307,180224.0,88.0,-18.6,1.0,85.0
1079.771606683731,182272.0,89.0,-18.2,1.0,85.0
1094.8662540912628,184320.0,90.0,-17.2,1.0,85.0
1110.5983295440674,186368.0,91.0,-16.0,1.0,85.0
1125.4547305107117,188416.0,92.0,-15.2,1.0,85.0
1141.1894736289978,190464.0,93.0,-17.2,1.0,90.0
1155.1446914672852,192512.0,94.0,-18.4,1.0,90.0
1170.6659886837006,194560.0,95.0,-15.0,1.0,90.0
1186.187021970749,196608.0,96.0,-16.8,1.0,90.0
1202.3179972171783,198656.0,97.0,-16.6,1.0,95.0
1218.0366792678833,200704.0,98.0,-18.8,1.0,95.0
1236.90949344635,202752.0,99.0,-16.2,1.0,95.0
1256.3937299251556,204800.0,100.0,-17.2,1.0,95.0
1274.5479006767273,206848.0,101.0,-16.8,1.0,95.0
1295.2522451877594,208896.0,102.0,-15.6,1.0,100.0
1316.268869638443,210944.0,103.0,-17.0,1.0,100.0
1336.8366165161133,212992.0,104.0,-17.4,1.0,100.0
1356.8826122283936,215040.0,105.0,-16.6,1.0,100.0
1377.8390762805939,217088.0,106.0,-17.4,1.0,100.0
1398.6549904346466,219136.0,107.0,-15.8,1.0,105.0
1419.687607049942,221184.0,108.0,-14.8,1.0,105.0
1438.8012158870697,223232.0,109.0,-17.4,1.0,105.0
1457.3852396011353,225280.0,110.0,-17.2,0.0,105.0
1475.089004278183,227328.0,111.0,-15.2,1.0,105.0
1492.4591875076294,229376.0,112.0,-16.4,1.0,110.0
1508.056926727295,231424.0,113.0,-18.0,1.0,110.0
1524.3814225196838,233472.0,114.0,-15.4,1.0,110.0
1541.9660646915436,235520.0,115.0,-14.4,1.0,110.0
1559.4246509075165,237568.0,116.0,-16.8,1.0,110.0
1576.3228096961975,239616.0,117.0,-15.2,1.0,115.0
1594.5982835292816,241664.0,118.0,-16.2,1.0,115.0
1612.8761911392212,243712.0,119.0,-15.2,1.0,115.0
1632.5145437717438,245760.0,120.0,-13.4,1.0,115.0
1650.8465740680695,247808.0,121.0,-17.0,1.0,115.0
1668.1449604034424,249856.0,122.0,-14.4,1.0,120.0
1686.0397160053253,251904.0,123.0,-15.4,1.0,120.0
1703.94016289711,253952.0,124.0,-15.6,1.0,120.0
1721.3875994682312,256000.0,125.0,-17.0,1.0,120.0
1740.142811536789,258048.0,126.0,-14.2,1.0,120.0
1757.5237081050873,260096.0,127.0,-17.0,1.0,125.0
1776.1618821620941,262144.0,128.0,-14.8,1.0,125.0
1795.2886741161346,264192.0,129.0,-14.2,1.0,125.0
1814.1522912979126,266240.0,130.0,-14.8,1.0,125.0
1830.6300327777863,268288.0,131.0,-17.6,1.0,125.0
1849.555340051651,270336.0,132.0,-13.6,1.0,130.0
1869.2546968460083,272384.0,133.0,-14.6,1.0,130.0
1887.552428483963,274432.0,134.0,-16.6,1.0,130.0
1908.4630205631256,276480.0,135.0,-11.8,1.0,130.0
1927.3865180015564,278528.0,136.0,-15.0,1.0,130.0
1948.054943561554,280576.0,137.0,-14.2,1.0,135.0
1966.8912472724915,282624.0,138.0,-13.6,1.0,135.0
1985.583114862442,284672.0,139.0,-14.6,1.0,135.0
2005.9233629703522,286720.0,140.0,-14.4,1.0,135.0
2025.2651720046997,288768.0,141.0,-13.0,1.0,135.0
2044.6118052005768,290816.0,142.0,-16.0,1.0,140.0
2063.9895253181458,292864.0,143.0,-15.8,1.0,140.0
2084.974217414856,294912.0,144.0,-15.6,1.0,140.0
2109.4284567832947,296960.0,145.0,-14.4,1.0,140.0
2134.767392396927,299008.0,146.0,-12.2,1.0,140.0
2154.9507303237915,301056.0,147.0,-11.8,1.0,145.0
2175.0317153930664,303104.0,148.0,-13.8,1.0,145.0
2194.8312220573425,305152.0,149.0,-12.8,1.0,145.0
2214.0870044231415,307200.0,150.0,-13.0,1.0,145.0
2230.068263530731,309248.0,151.0,-17.2,1.0,145.0
2250.15664601326,311296.0,152.0,-13.0,1.0,150.0
2268.920773267746,313344.0,153.0,-13.6,1.0,150.0
2288.1719014644623,315392.0,154.0,-12.4,1.0,150.0
2307.5965411663055,317440.0,155.0,-14.2,1.0,150.0
2327.158886909485,319488.0,156.0,-15.0,1.0,150.0
2346.469244003296,321536.0,157.0,-14.0,1.0,155.0
2368.4781799316406,323584.0,158.0,-13.6,1.0,155.0
2391.3677904605865,325632.0,159.0,-15.0,1.0,155.0
2412.1745438575745,327680.0,160.0,-14.0,1.0,155.0
2436.45530462265,329728.0,161.0,-15.2,1.0,155.0
2455.365185022354,331776.0,162.0,-14.4,1.0,160.0
2475.2712440490723,333824.0,163.0,-13.4,1.0,160.0
2493.8203830718994,335872.0,164.0,-15.4,1.0,160.0
2512.4111652374268,337920.0,165.0,-15.2,1.0,160.0
2532.6937551498413,339968.0,166.0,-12.0,1.0,160.0
2554.682873725891,342016.0,167.0,-11.4,1.0,165.0
2575.423855304718,344064.0,168.0,-13.2,1.0,165.0
2603.3652415275574,346112.0,169.0,-10.0,1.0,165.0
